video_id,split
371,train
372,train
373,train
374,test
375,train
376,val
377,train
378,train
379,test
380,train
381,train
382,train
383,test
384,train
385,train
386,train
387,val
388,train
389,train
390,val
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,test
403,train
404,train
405,test
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,val
414,train
415,train
416,train
417,test
418,val
419,val
420,test
421,val
422,train
423,train
424,train
425,train
426,train
427,val
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,val
438,train
439,train
440,train
441,train
442,train
443,test
444,train
445,train
446,train
447,test
448,train
449,train
450,train
451,train
452,val
453,train
454,train
455,train
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,train
464,val
465,train
466,train
467,train
468,train
469,val
470,train
471,val
472,test
473,train
474,test
475,train
476,test
477,train
478,test
479,train
480,train
481,test
482,train
483,train
484,train
485,train
486,val
487,train
488,train
489,val
490,val
491,train
492,train
493,train
494,train
495,train
496,train
497,test
498,train
499,train
500,train
501,train
502,val
503,train
504,train
505,train
506,train
507,train
508,val
509,train
510,test
511,train
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,test
522,train
523,train
524,train
525,train
526,val
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,test
542,test
543,test
544,train
545,val
546,train
547,train
548,test
549,train
550,train
551,train
552,test
553,train
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,train
571,train
572,train
573,train
574,train
575,val
576,train
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,train
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,test
594,val
595,test
596,train
597,val
598,test
599,train
600,train
601,train
602,val
603,train
604,train
605,test
606,train
607,train
608,train
609,train
610,train
611,test
612,test
613,train
614,train
615,train
616,val
617,test
618,train
619,val
620,val
621,train
622,train
623,train
624,train
625,train
626,train
627,train
628,test
629,test
630,train
631,val
632,train
633,test
634,train
635,train
636,train
637,train
638,test
639,train
640,train
641,test
642,train
643,test
644,train
645,train
646,train
647,val
648,train
649,test
650,train
651,train
652,train
653,train
654,train
655,train
656,train
657,train
658,val
659,train
660,train
661,train
662,test
663,train
664,train
665,train
666,test
667,train
668,val
669,train
670,train
671,train
672,train
673,val
674,train
675,train
676,train
677,train
678,train
679,train
680,train
681,train
682,train
683,train
684,train
685,train
686,train
687,train
688,train
689,train
690,val
691,train
692,test
693,val
694,train
695,train
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,train
704,train
705,train
706,train
707,train
708,train
709,train
710,train
711,train
712,val
713,train
714,train
715,test
716,test
717,train
718,train
719,test
720,train
721,train
722,train
723,train
724,train
725,train
726,train
727,test
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,test
736,test
737,train
738,train
739,train
740,train
741,test
742,val
743,val
744,train
745,train
746,train
747,train
748,test
749,test
750,train
751,train
752,test
753,train
754,train
755,train
756,train
757,train
758,train
759,train
760,train
761,train
762,train
763,train
764,val
765,train
766,train
767,train
768,train
769,train
770,train
771,test
772,train
773,test
774,train
775,test
776,test
777,train
778,test
779,train
780,val
781,train
782,train
783,train
784,train
785,train
786,train
787,train
788,val
789,train
790,test
791,train
792,test
793,train
794,test
795,train
796,train
797,train
798,train
799,val
800,train
801,train
802,val
803,train
804,train
805,train
806,train
807,train
808,train
809,train
810,train
811,train
812,val
813,train
814,train
815,train
816,train
817,train
818,train
819,val
820,train
821,test
822,train
823,train
824,train
825,train
826,train
827,train
828,test
829,train
830,val
831,train
832,test
833,train
834,val
835,train
836,train
837,train
838,train
839,val
840,train
841,train
842,train
843,val
844,train
845,train
846,train
847,train
848,train
849,train
850,test
851,val
852,test
853,train
854,train
855,train
856,train
857,train
858,val
859,train
860,train
861,train
862,train
863,test
864,train
865,val
866,train
867,train
868,train
869,train
870,train
871,train
872,val
873,test
874,train
875,train
876,train
877,train
878,train
879,train
880,train
881,train
882,train
883,test
884,train
885,train
886,train
887,train
888,train
889,train
890,val
891,train
892,train
893,train
894,train
895,val
896,train
897,train
898,train
899,train
900,train
901,train
902,train
903,train
904,train
905,train
906,train
907,train
908,train
909,train
910,train
911,train
912,train
913,train
914,train
915,val
916,train
917,train
918,train
919,val
920,train
921,train
922,train
923,train
924,train
925,test
926,val
927,train
928,test
929,test
930,train
931,train
932,train
933,train
934,train
935,train
936,train
937,train
938,train
939,test
940,train
941,train
942,train
943,train
944,train
945,train
946,train
947,train
948,test
949,train
950,val
951,train
952,train
953,test
954,test
955,val
956,train
957,train
958,train
959,test
960,train
961,train
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,train
972,train
973,train
974,train
975,train
976,train
977,train
978,test
979,train
980,train
981,train
982,val
983,train
984,train
985,train
986,train
987,train
988,train
989,train
990,test
991,train
992,test
993,train
994,test
995,train
996,val
997,train
998,train
999,train
1000,val
1001,train
1002,train
1003,train
1004,train
1005,train
1006,val
1007,train
1008,val
1009,train
1010,train
1011,test
1012,train
1013,train
1014,train
1015,train
1016,train
1017,train
1018,train
1019,train
1020,train
1021,val
1022,train
1023,train
1024,train
1025,train
1026,test
1027,train
1028,train
1029,train
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,test
1037,test
1038,val
1039,val
1040,test
1041,train
1042,train
1043,test
1044,test
1045,train
1046,train
1047,val
1048,train
1049,test
1050,train
1051,train
1052,train
1053,train
1054,train
1055,train
1056,val
1057,train
1058,test
1059,train
1060,train
1061,train
1062,train
1063,val
1064,test
1065,train
1066,val
1067,train
1068,train
1069,train
1070,train
1071,train
1072,train
1073,train
1074,val
1075,train
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,val
1085,train
1086,test
1087,train
1088,train
1089,train
1090,train
1091,train
1092,val
1093,train
1094,test
1095,train
1096,train
1097,train
1098,train
1099,train
1100,val
1101,train
1102,train
1103,val
1104,train
1105,train
1106,train
1107,test
1108,train
1109,train
1110,test
1111,train
1112,val
1113,train
1114,train
1115,train
1116,train
1117,train
1118,train
1119,train
1120,test
1121,train
1122,train
1123,train
1124,train
1125,train
1126,train
1127,train
1128,train
1129,train
1130,test
1131,train
1132,train
1133,train
1134,train
1135,train
1136,train
1137,train
1138,val
1139,train
1140,train
1141,train
1142,train
1143,train
1144,train
1145,train
1146,train
1147,test
1148,train
1149,train
1150,train
1151,train
1152,val
1153,val
1154,val
1155,train
1156,val
1157,train
1158,train
1159,train
1160,train
1161,test
1162,train
1163,train
1164,train
1165,val
1166,train
1167,val
1168,train
1169,test
1170,val
1171,train
1172,train
1173,train
1174,val
1175,val
1176,train
1177,train
1178,train
1179,train
1180,train
1181,train
1182,test
1183,train
1184,test
1185,val
1186,val
1187,train
1188,val
1189,train
1190,train
1191,val
1192,val
1193,train
1194,train
1195,train
1196,train
1197,test
1198,train
1199,train
1200,test
1201,train
1202,train
1203,train
1204,test
1205,train
1206,train
1207,train
1208,train
1209,val
1210,train
1211,train
1212,train
1213,train
1214,train
1215,train
1216,train
1217,test
1218,val
1219,train
1220,train
1221,train
1222,train
1223,train
1224,train
1225,train
1226,train
1227,train
1228,train
1229,train
1230,val
1231,train
1232,train
1233,test
1234,train
1235,train
1236,train
1237,train
1238,train
1239,train
1240,train
1241,train
1242,train
1243,train
1244,train
1245,val
1246,train
1247,train
1248,val
1249,train
1250,train
1251,train
1252,train
1253,train
1254,train
1255,val
1256,train
1257,train
1258,train
1259,train
1260,val
1261,train
1262,train
1263,test
1264,train
1265,train
1266,train
1267,train
1268,train
1269,train
1270,val
1271,train
1272,train
1273,val
1274,train
1275,train
1276,train
1277,train
1278,train
1279,train
1280,train
1281,train
1282,train
1283,train
1284,train
1285,train
1286,train
1287,train
1288,train
1289,train
1290,test
1291,train
1292,val
1293,train
1294,train
1295,train
1296,train
1297,train
1298,train
1299,train
1300,train
1301,train
1302,train
1303,train
1304,test
1305,test
1306,train
1307,train
1308,train
1309,train
1310,val
1311,train
1312,train
1313,train
1314,train
1315,train
1316,val
1317,train
1318,test
1319,train
1320,train
1321,train
1322,val
1323,train
1324,train
1325,val
1326,train
1327,val
1328,train
1329,test
1330,train
1331,train
1332,val
1333,train
1334,train
1335,train
1336,train
1337,train
1338,train
1339,train
1340,train
1341,train
1342,train
1343,train
1344,val
1345,train
1346,train
1347,test
1348,train
1349,test
1350,val
1351,train
1352,train
1353,train
1354,test
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,test
1362,train
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1370,train
1371,train
1372,test
1373,train
1374,train
1375,test
1376,train
1377,train
1378,train
1379,train
1380,train
1381,train
1382,train
1383,val
1384,train
1385,train
1386,train
1387,test
1388,train
1389,train
1390,train
1391,train
1392,train
1393,train
1394,train
1395,train
1396,val
1397,train
1398,train
1399,train
1400,train
1401,train
1402,train
1403,train
1404,train
1405,val
1406,train
1407,train
1408,train
1409,train
1410,train
1411,train
1412,train
1413,train
1414,train
1415,val
1416,train
1417,train
1418,train
1419,test
1420,train
1421,test
1422,train
1423,val
1424,train
1425,train
1426,train
1427,test
1428,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,train
1436,train
1437,val
1438,train
1439,train
1440,train
1441,train
1442,train
1443,train
1444,train
1445,train
1446,train
1447,train
1448,train
1449,train
1450,train
1451,train
1452,train
1453,train
1454,train
1455,train
1456,train
1457,train
1458,test
1459,train
1460,val
1461,train
1462,train
1463,train
1464,val
1465,train
1466,train
1467,train
1468,val
1469,train
1470,val
1471,train
1472,test
1473,train
1474,train
1475,train
1476,train
1477,test
1478,train
1479,train
1480,train
1481,train
1482,train
1483,train
1484,val
1485,train
1486,val
1487,train
1488,train
1489,train
1490,val
1491,train
1492,test
1493,train
1494,train
1495,test
1496,train
1497,train
1498,test
1499,train
1500,train
1501,train
1502,train
1503,test
1504,val
1505,train
1506,val
1507,val
1508,train
1509,test
1510,train
1511,train
1512,train
1513,train
1514,val
1515,train
1516,train
1517,train
1518,train
1519,train
1520,val
1521,train
1522,train
1523,train
1524,train
1525,train
1526,test
1527,train
1528,train
1529,train
1530,train
1531,train
1532,val
1533,train
1534,train
1535,train
1536,train
1537,train
1538,train
1539,train
1540,train
1541,train
1542,train
1543,train
1544,train
1545,train
1546,train
1547,train
1548,train
1549,train
1550,train
1551,test
1552,train
1553,train
1554,train
1555,train
1556,train
1557,train
1558,train
1559,train
1560,train
1561,test
1562,train
1563,train
1564,train
1565,train
1566,train
1567,train
1568,train
1569,train
1570,train
1571,train
1572,train
1573,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,train
1581,val
1582,train
1583,train
1584,val
1585,train
1586,train
1587,train
1588,train
1589,train
1590,test
1591,train
1592,train
1593,train
1594,train
1595,train
1596,train
1597,train
1598,train
1599,train
1600,val
1601,train
1602,train
1603,val
1604,train
1605,train
1606,train
1607,train
1608,val
1609,test
1610,train
1611,train
1612,train
1613,val
1614,val
1615,train
1616,test
1617,test
1618,test
1619,train
1620,train
1621,train
1622,test
1623,val
1624,train
1625,train
1626,test
1627,train
1628,train
1629,train
1630,train
1631,train
1632,train
1633,train
1634,train
1635,train
1636,train
1637,train
1638,val
1639,val
1640,train
1641,train
1642,train
1643,train
1644,train
1645,train
1646,train
1647,train
1648,train
1649,train
1650,train
1651,train
1652,train
1653,val
1654,train
1655,train
1656,train
1657,train
1658,train
1659,train
1660,val
1661,val
1662,train
1663,train
1664,train
1665,train
1666,train
1667,train
1668,train
1669,val
1670,train
1671,train
1672,train
1673,train
1674,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,train
1681,train
1682,train
1683,train
1684,test
1685,train
1686,train
1687,train
1688,train
1689,train
1690,train
1691,train
1692,train
1693,train
1694,test
1695,train
1696,train
1697,train
1698,val
1699,train
1700,train
1701,train
1702,train
1703,val
1704,train
1705,train
1706,test
1707,train
1708,train
1709,val
1710,test
1711,train
1712,test
1713,train
1714,train
1715,train
1716,train
1717,train
1718,train
1719,train
1720,train
1721,test
1722,train
1723,train
1724,train
1725,train
1726,train
1727,train
1728,train
1729,train
1730,train
1731,train
1732,test
1733,train
1734,test
1735,train
1736,train
1737,train
1738,train
1739,train
1740,train
1741,train
1742,train
1743,test
1744,train
1745,train
1746,train
1747,train
1748,test
1749,train
1750,train
1751,train
1752,train
1753,train
1754,train
1755,val
1756,train
1757,train
1758,train
1759,test
1760,train
1761,train
1762,train
1763,val
1764,train
1765,train
1766,val
1767,train
1768,train
1769,train
1770,train
1771,train
1772,train
1773,test
1774,train
1775,train
1776,train
1777,test
1778,train
1779,train
1780,train
1781,train
1782,val
1783,train
1784,train
1785,train
1786,train
1787,train
1788,train
1789,train
1790,train
1791,train
1792,train
1793,train
1794,train
1795,train
1796,train
1797,train
1798,val
1799,train
1800,train
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,train
1808,train
1809,train
1810,train
1811,train
1812,train
1813,test
1814,train
1815,train
1816,train
1817,train
1818,train
1819,train
1820,train
1821,train
1822,train
1823,train
1824,test
1825,train
1826,val
1827,train
1828,train
1829,train
1830,val
1831,train
1832,train
1833,train
1834,val
1835,val
1836,train
1837,train
1838,train
1839,train
1840,train
1841,train
1842,train
1843,train
1844,train
1845,train
1846,train
1847,train
1848,test
1849,train
1850,train
1851,train
1852,val
1853,train
1854,train
1855,train
1856,train
1857,train
1858,test
1859,train
1860,train
1861,train
1862,val
1863,train
1864,train
1865,train
1866,test
1867,train
1868,train
1869,train
1870,train
1871,train
1872,test
1873,val
1874,train
1875,train
1876,train
1877,train
1878,train
1879,train
1880,train
1881,train
1882,train
1883,train
1884,train
1885,test
1886,test
1887,train
1888,train
1889,train
1890,train
1891,val
1892,train
1893,train
1894,train
1895,train
1896,test
1897,val
1898,test
1899,train
1900,train
1901,train
1902,train
1903,train
1904,train
1905,val
1906,train
1907,test
1908,train
1909,train
1910,train
1911,train
1912,train
1913,train
1914,train
1915,train
1916,train
1917,train
1918,train
1919,val
1920,train
1921,train
1922,train
1923,train
1924,val
1925,train
1926,train
1927,train
1928,train
1929,train
1930,val
1931,train
1932,val
1933,train
1934,train
1935,train
1936,train
1937,train
1938,train
1939,val
1940,val
1941,train
1942,train
1943,val
1944,test
1945,val
1946,train
1947,train
1948,test
1949,train
1950,val
1951,train
1952,train
1953,train
1954,train
1955,test
1956,val
1957,train
1958,train
1959,train
1960,train
1961,train
1962,test
1963,train
1964,test
1965,train
1966,train
1967,train
1968,val
1969,test
1970,train
1971,test
1972,train
1973,train
1974,train
1975,train
1976,train
1977,test
1978,train
1979,train
1980,train
1981,train
1982,train
1983,train
1984,val
1985,train
1986,train
1987,train
1988,train
1989,train
1990,train
1991,test
1992,train
1993,train
1994,val
1995,train
1996,test
1997,test
1998,test
1999,train
2000,train
2001,train
2002,train
2003,train
2004,train
2005,test
2006,train
2007,train
2008,train
2009,train
2010,train
2011,train
2012,train
2013,train
2014,train
2015,train
2016,train
2017,test
2018,train
2019,train
2020,train
2021,train
2022,train
2023,test
2024,train
2025,train
2026,train
2027,train
2028,test
2029,train
2030,train
2031,train
2032,train
2033,test
2034,train
2035,train
2036,val
2037,train
2038,train
2039,train
2040,train
2041,train
2042,test
2043,test
2044,train
2045,train
2046,train
2047,train
2048,val
2049,train
2050,train
2051,train
2052,train
2053,val
2054,train
2055,val
2056,train
2057,train
2058,val
2059,train
2060,val
2061,train
2062,train
2063,train
2064,train
2065,train
2066,train
2067,train
2068,train
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,train
2076,train
2077,train
2078,train
2079,train
2080,train
2081,train
2082,val
2083,train
2084,train
2085,train
2086,train
2087,test
2088,train
2089,train
2090,train
2091,train
2092,train
2093,val
2094,train
2095,train
2096,train
2097,train
2098,train
2099,train
2100,train
2101,val
2102,train
2103,train
2104,train
2105,test
2106,train
2107,train
2108,val
2109,train
2110,train
2111,test
2112,train
2113,train
2114,train
2115,train
2116,val
2117,train
2118,train
2119,val
2120,train
2121,train
2122,train
2123,train
2124,train
2125,val
2126,train
2127,train
2128,train
2129,train
2130,val
2131,val
2132,val
2133,train
2134,test
2135,train
2136,train
2137,train
2138,train
2139,train
2140,val
2141,train
2142,train
2143,train
2144,train
2145,val
2146,train
2147,train
2148,test
2149,train
2150,train
2151,test
2152,train
2153,train
2154,train
2155,val
2156,val
2157,train
2158,train
2159,val
2160,train
2161,train
2162,train
2163,val
2164,val
2165,train
2166,test
2167,train
2168,train
2169,train
2170,test
2171,train
2172,val
2173,train
2174,train
2175,train
2176,train
2177,test
2178,train
2179,train
2180,train
2181,train
2182,val
2183,train
2184,train
2185,val
2186,train
2187,train
2188,train
2189,val
2190,train
2191,train
2192,train
2193,train
2194,train
2195,train
2196,train
2197,train
2198,train
2199,train
2200,train
2201,train
2202,val
2203,val
2204,train
2205,train
2206,train
2207,train
2208,train
2209,train
2210,train
2211,train
2212,train
2213,train
2214,train
2215,train
2216,train
2217,train
2218,train
2219,train
2220,train
2221,test
2222,train
2223,val
2224,train
2225,train
2226,train
2227,test
2228,train
2229,train
2230,train
2231,train
2232,train
2233,train
2234,train
2235,train
2236,train
2237,train
2238,train
2239,train
2240,train
2241,train
2242,train
2243,train
2244,train
2245,train
2246,train
2247,train
2248,train
2249,val
2250,val
2251,train
2252,train
2253,train
2254,train
2255,train
2256,train
2257,train
2258,test
2259,train
2260,test
2261,train
2262,train
2263,train
2264,train
2265,train
2266,train
2267,train
2268,train
2269,train
2270,test
2271,train
2272,train
2273,train
2274,train
2275,train
2276,val
2277,train
2278,train
2279,train
2280,train
2281,train
2282,train
2283,train
2284,train
2285,val
2286,train
2287,train
2288,train
2289,test
2290,test
2291,train
2292,train
2293,train
2294,test
2295,train
2296,train
2297,train
2298,val
2299,train
2300,val
2301,train
2302,train
2303,train
2304,train
2305,train
2306,train
2307,val
2308,train
2309,train
2310,train
2311,train
2312,train
2313,train
2314,train
2315,train
2316,train
2317,train
2318,train
2319,train
2320,train
2321,test
2322,test
2323,val
2324,train
2325,train
2326,train
2327,train
2328,train
2329,train
2330,train
2331,train
2332,train
2333,train
2334,val
2335,train
2336,train
2337,train
2338,val
2339,train
2340,train
2341,train
2342,train
2343,train
2344,test
2345,train
2346,train
2347,train
2348,train
2349,train
2350,test
2351,train
2352,train
2353,train
2354,test
2355,train
2356,train
2357,train
2358,test
2359,train
2360,train
2361,train
2362,test
2363,train
2364,train
2365,test
2366,train
2367,train
2368,train
2369,val
2370,train
2371,test
2372,train
2373,train
2374,train
2375,train
2376,train
2377,train
2378,train
2379,test
2380,train
2381,train
2382,train
2383,val
2384,train
2385,train
2386,train
2387,train
2388,train
2389,train
2390,test
2391,train
2392,train
2393,train
2394,val
2395,train
2396,train
2397,train
2398,train
2399,train
2400,train
2401,train
2402,train
2403,train
2404,train
2405,train
2406,train
2407,train
2408,train
2409,train
2410,train
2411,train
2412,test
2413,train
2414,test
2415,train
2416,train
2417,train
2418,train
2419,train
2420,train
2421,train
2422,train
2423,train
2424,train
2425,train
2426,val
2427,train
2428,train
2429,train
2430,train
2431,test
2432,train
2433,train
2434,train
2435,train
2436,train
2437,train
2438,train
2439,train
2440,train
2441,val
2442,train
2443,val
2444,train
2445,train
2446,test
2447,train
2448,train
2449,train
2450,train
2451,train
2452,val
2453,train
2454,test
2455,train
2456,train
2457,train
2458,train
2459,train
2460,train
2461,train
2462,train
2463,train
2464,train
2465,train
2466,val
2467,train
2468,train
2469,train
2470,train
2471,test
2472,train
2473,train
2474,train
2475,train
2476,train
2477,train
2478,train
2479,train
2480,train
2481,train
2482,test
2483,train
2484,train
2485,train
2486,test
2487,train
2488,train
2489,train
2490,train
2491,train
2492,train
2493,val
2494,train
2495,train
2496,val
2497,train
2498,train
2499,val
2500,train
2501,test
2502,train
2503,train
2504,train
2505,test
2506,train
2507,train
2508,val
2509,train
2510,train
2511,train
2512,train
2513,train
2514,train
2515,train
2516,train
2517,train
2518,train
2519,train
2520,train
2521,train
2522,train
2523,train
2524,test
2525,train
2526,train
2527,train
2528,train
2529,train
2530,train
2531,train
2532,train
2533,train
2534,train
2535,train
2536,train
2537,train
2538,train
2539,train
2540,train
2541,train
2542,train
2543,train
2544,train
2545,val
2546,test
2547,train
2548,train
2549,train
2550,train
2551,train
2552,train
2553,train
2554,train
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,train
2564,val
2565,train
2566,train
2567,train
2568,test
2569,train
2570,train
2571,train
2572,train
2573,val
2574,train
2575,train
2576,train
2577,test
2578,val
2579,train
2580,train
2581,train
2582,train
2583,train
2584,train
2585,train
2586,val
2587,train
2588,train
2589,train
2590,val
2591,train
2592,train
2593,train
2594,train
2595,train
2596,train
2597,train
2598,train
2599,train
2600,train
2601,train
2602,train
2603,train
2604,val
2605,val
2606,train
2607,test
2608,train
2609,train
2610,train
2611,train
2612,train
2613,train
2614,train
2615,train
2616,train
2617,train
2618,train
2619,test
2620,train
2621,train
2622,train
2623,train
2624,train
2625,val
2626,train
2627,train
2628,train
2629,test
2630,train
2631,val
2632,train
2633,train
2634,train
2635,train
2636,train
2637,train
2638,train
2639,train
2640,train
2641,train
2642,train
2643,train
2644,train
2645,train
2646,train
2647,train
2648,train
2649,train
2650,train
2651,train
2652,train
2653,test
2654,train
2655,train
2656,train
2657,test
2658,test
2659,train
2660,train
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,train
2670,train
2671,train
2672,train
2673,train
2674,train
2675,train
2676,train
2677,train
2678,train
2679,train
2680,train
2681,train
2682,train
2683,train
2684,val
2685,train
2686,train
2687,train
2688,test
2689,val
2690,train
2691,val
2692,train
2693,train
2694,train
2695,train
2696,val
2697,train
2698,val
2699,train
2700,train
2701,train
2702,train
2703,test
2704,train
2705,val
2706,train
2707,train
2708,train
2709,train
2710,train
2711,train
2712,val
2713,train
2714,test
2715,train
2716,train
2717,train
2718,train
2719,train
2720,train
2721,train
2722,val
2723,val
2724,train
2725,val
2726,train
2727,train
2728,val
2729,train
2730,test
2731,train
2732,val
2733,train
2734,val
2735,test
2736,train
2737,test
2738,train
2739,train
2740,train
2741,train
2742,train
2743,train
2744,train
2745,train
2746,train
2747,train
2748,train
2749,train
2750,val
2751,train
2752,val
2753,train
2754,train
2755,train
2756,train
2757,train
2758,train
2759,val
2760,test
2761,train
2762,train
2763,train
2764,train
2765,val
2766,train
2767,train
2768,train
2769,train
2770,val
2771,train
2772,train
2773,train
2774,train
2775,train
2776,test
2777,train
2778,train
2779,test
2780,train
2781,train
2782,test
2783,train
2784,train
2785,train
2786,train
2787,train
2788,train
2789,train
2790,train
2791,train
2792,train
2793,test
2794,train
2795,val
2796,train
2797,train
2798,val
2799,val
2800,train
2801,test
2802,val
2803,train
2804,train
2805,train
2806,train
2807,test
2808,train
2809,train
2810,train
2811,train
2812,train
2813,train
2814,train
2815,train
2816,train
2817,train
2818,train
2819,train
2820,train
2821,train
2822,train
2823,train
2824,train
2825,train
2826,train
2827,train
2828,train
2829,train
2830,train
2831,train
2832,train
2833,train
2834,train
2835,train
2836,train
2837,train
2838,train
2839,train
2840,train
2841,train
2842,train
2843,train
2844,train
2845,train
2846,train
2847,train
2848,train
2849,train
2850,train
2851,train
2852,train
2853,train
2854,train
2855,test
2856,train
2857,train
2858,train
2859,train
2860,train
2861,train
2862,train
2863,val
2864,train
2865,train
2866,train
2867,train
2868,train
2869,train
2870,val
2871,train
2872,train
2873,train
2874,test
2875,test
2876,train
2877,train
2878,train
2879,train
2880,train
2881,test
2882,train
2883,train
2884,train
2885,train
2886,train
2887,train
2888,train
2889,val
2890,train
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,train
2899,test
2900,train
2901,train
2902,train
2903,train
2904,test
2905,train
2906,train
2907,train
2908,train
2909,val
2910,val
2911,train
2912,train
2913,train
2914,train
2915,train
2916,train
2917,train
2918,train
2919,test
2920,train
2921,train
2922,train
2923,train
2924,train
2925,train
2926,train
2927,train
2928,train
2929,val
2930,val
2931,train
2932,train
2933,train
2934,train
2935,train
2936,train
2937,test
2938,train
2939,train
2940,train
2941,test
2942,train
2943,train
2944,train
2945,train
2946,val
2947,train
2948,test
2949,train
2950,val
2951,train
2952,train
2953,train
2954,train
2955,train
2956,train
2957,train
2958,test
2959,test
2960,val
2961,train
2962,train
2963,train
2964,train
2965,train
2966,train
2967,test
2968,test
2969,train
2970,train
2971,val
2972,train
2973,train
2974,train
2975,train
2976,train
2977,train
2978,train
2979,train
2980,train
2981,train
2982,train
2983,train
2984,train
2985,train
2986,train
2987,train
2988,train
2989,train
2990,train
2991,val
2992,train
2993,train
2994,val
2995,val
2996,train
2997,train
